Region.Label,Area,Sample.Label,Effort,Bearing (0-180),Radial Distance,PP Distance,Forward Distance,Species,Location (0.5-4.5 km),Height,,,
1,0,2,52,23,0.0440,0.0172,0.0405,1,3.13,NA,,,
1,0,2,52,0,0.0210,0.0000,0.0210,1,2.80,3,,,
1,0,1,52,22,0.0221,0.0083,0.0205,1,3.61,NA,,,
1,0,2,52,0,0.0160,0.0000,0.0160,1,3.50,2,,,
1,0,3,52,0,0.0247,0.0000,0.0247,1,2.33,3,,,
1,0,2,52,64,0.0286,0.0257,0.0125,1,3.44,NA,,,
1,0,2,52,60,0.0450,0.0390,0.0225,1,3.33,NA,,,
1,0,3,52,13,0.0250,0.0056,0.0244,1,1.93,4,,,
1,0,1,52,50,0.0193,0.0148,0.0124,1,3.82,NA,,,
1,0,2,52,3,0.0520,0.0027,0.0519,1,2.88,5,,,
1,0,3,52,14,0.0270,0.0065,0.0262,1,1.95,3,,,
1,0,2,52,84,0.0193,0.0192,0.0020,1,2.66,NA,,,
1,0,1,52,22,0.0377,0.0141,0.0350,1,3.82,NA,,,
1,0,3,52,50,0.0440,0.0337,0.0283,1,1.78,5,,,
1,0,4,52,0,0.0500,0.0000,0.0500,1,0.50,5,,,
1,0,2,52,11,0.0240,0.0046,0.0236,1,3.15,5,,,
1,0,3,52,90,0.0450,0.0450,0.0000,1,1.80,5,,,
1,0,1,52,20,0.0412,0.0141,0.0387,1,4.41,NA,,,
1,0,2,52,60,0.0507,0.0439,0.0254,1,3.30,NA,,,
1,0,4,52,100,0.0472,0.0465,0.0082,1,0.81,NA,,,
1,0,1,52,38,0.0173,0.0107,0.0136,1,4.38,NA,,,
1,0,4,52,90,0.0327,0.0327,0.0000,1,0.58,NA,,,
1,0,1,52,64,0.0277,0.0249,0.0121,1,4.50,NA,,,
1,0,2,52,0,0.0317,0.0000,0.0317,1,2.50,6,,,
1,0,1,52,94,0.0400,0.0399,0.0028,1,3.58,4,,,
1,0,3,52,90,0.0300,0.0300,0.0000,1,2.00,3,,,
1,0,3,52,30,0.0331,0.0166,0.0287,1,2.29,NA,,,
1,0,1,52,70,0.0301,0.0283,0.0103,1,4.50,NA,,,
1,0,2,52,20,0.0245,0.0084,0.0230,1,3.03,NA,,,
1,0,2,52,30,0.0294,0.0147,0.0255,1,3.18,NA,,,
1,0,4,52,30,0.0305,0.0153,0.0264,1,1.06,NA,,,
1,0,1,52,60,0.0440,0.0381,0.0220,1,3.70,4,,,
1,0,3,52,40,0.0234,0.0150,0.0179,1,2.29,NA,,,
1,0,4,52,68,0.0383,0.0355,0.0143,1,0.93,NA,,,
1,0,1,52,0,0.0250,0.0000,0.0250,1,4.23,4,,,
1,0,1,52,61,0.0310,0.0271,0.0150,1,4.50,4,,,
1,0,1,52,90,0.0300,0.0300,0.0000,1,3.68,4,,,
1,0,3,52,34,0.0496,0.0277,0.0411,1,2.08,NA,,,
1,0,3,52,60,0.0472,0.0409,0.0236,1,2.08,NA,,,
1,0,2,52,50,0.0550,0.0421,0.0354,1,3.20,4,,,
1,0,1,52,50,0.0380,0.0291,0.0244,1,4.28,4,,,
1,0,2,52,60,0.0217,0.0188,0.0109,1,3.32,NA,,,
1,0,2,52,90,0.0251,0.0251,0.0000,1,3.30,NA,,,
1,0,3,52,58,0.0284,0.0241,0.0150,1,2.28,NA,,,
1,0,4,52,0,0.0132,0.0000,0.0132,1,0.55,NA,,,
1,0,1,52,42,0.0440,0.0294,0.0327,1,4.20,4,,,
1,0,1,52,0,0.0000,0.0000,0.0000,1,3.95,4,,,
1,0,2,52,8,0.0640,0.0089,0.0634,1,3.08,4,,,
1,0,4,52,0,0.0000,0.0000,0.0000,1,1.17,4,,,
1,0,4,52,62,0.0391,0.0345,0.0184,1,0.50,NA,,,
1,0,2,52,40,0.0420,0.0270,0.0322,1,3.33,NA,,,
1,0,2,52,0,0.0000,0.0000,0.0000,1,3.23,4,,,
1,0,2,52,80,0.0380,0.0374,0.0066,1,3.18,NA,,,
1,0,3,52,60,0.0267,0.0231,0.0134,1,2.45,NA,,,
1,0,3,52,80,0.0420,0.0414,0.0073,2,2.08,4,,,
1,0,3,52,23,0.0180,0.0070,0.0166,2,1.60,NA,,,
1,0,4,52,38,0.0360,0.0222,0.0284,2,1.28,3,,,
1,0,3,52,0,0.0208,0.0000,0.0208,2,1.78,4,,,
1,0,3,52,44,0.0266,0.0185,0.0191,2,1.80,NA,,,
1,0,1,52,90,0.0270,0.0270,0.0000,2,4.50,4,,,
1,0,3,52,80,0.0420,0.0414,0.0073,2,1.78,5,,,
1,0,4,52,90,0.0140,0.0140,0.0000,2,1.25,5,,,
1,0,4,52,110,0.0281,0.0264,0.0096,2,0.88,NA,,,
1,0,3,52,0,0.0000,0.0000,0.0000,2,1.94,5,,,
1,0,4,52,0,0.0000,0.0000,0.0000,2,1.28,3,,,
1,0,1,52,0,0.0000,0.0000,0.0000,2,4.08,3,,,
1,0,4,52,88,0.0360,0.0360,0.0013,2,1.28,4,,,
1,0,4,52,40,0.0260,0.0167,0.0199,2,0.50,4,,,
1,0,4,52,30,0.0250,0.0125,0.0217,2,1.38,4,,,
1,0,4,52,30,0.0450,0.0225,0.0390,2,1.40,4,,,
1,0,1,52,84,0.0280,0.0278,0.0029,2,4.08,4,,,
1,0,4,52,0,0.0000,0.0000,0.0000,2,0.85,3,,,
1,0,4,52,82,0.0320,0.0317,0.0045,2,0.70,4,,,
,,,,,,,,,,,,,
,,,,7.0000,7.0000,15.0000,14.0000,,,,,,
