Region.Label,Area,Sample.Label,Effort,Bearing (Rel. to North),Bearing (0-180?),Radial Distance,PP Distance,Forward Distance,species
1,0,1,12.5,230,130,0.015,0.011490667,0.009641814,1
1,0,1,12.5,250,110,0.025,0.023492316,0.008550504,1
1,0,1,12.5,160,160,0.035,0.011970705,0.032889242,1
1,0,1,12.5,235,125,0.02,0.016383041,0.011471529,1
1,0,1,12.5,250,110,0.05,0.046984631,0.017101007,1
1,0,2,11,100,100,0.025,0.024620194,0.004341204,1
1,0,3,12.5,170,170,0.02,0.003472964,0.019696155,1
1,0,3,12.5,280,80,0.02,0.019696155,0.003472964,1
1,0,3,12.5,350,10,0.025,0.004341204,0.024620194,1
1,0,3,12.5,230,130,0.035,0.026811556,0.022497566,1
1,0,3,12.5,110,110,0.03,0.028190779,0.010260604,1
1,0,3,12.5,290,70,0.02,0.018793852,0.006840403,1
1,0,3,12.5,285,75,0.02,0.019318517,0.005176381,1
1,0,4,11.5,140,140,0.03,0.019283628,0.022981333,1
1,0,4,11.5,160,160,0.02,0.006840403,0.018793852,1
1,0,4,11.5,200,160,0.013,0.004446262,0.012216004,1
1,0,5,4.5,90,90,0.018,0.018,0,1
1,0,6,4.5,120,120,0.017,0.014722432,0.0085,1
1,0,6,4.5,295,65,0.02,0.018126156,0.008452365,1
1,0,7,1.5,150,150,0.015,0.0075,0.012990381,1
1,0,8,1.5,NA,NA,NA,NA,NA,1
1,0,9,1,220,140,0.025,0.01606969,0.019151111,1
1,0,10,2,30,30,0.015,0.0075,0.012990381,1
1,0,12,5,350,10,0.035,0.006077686,0.034468271,1
1,0,13,5,NA,NA,NA,NA,NA,1
1,0,15,5.5,320,40,0.035,0.022497566,0.026811556,1
1,0,16,6.5,220,140,0.025,0.01606969,0.019151111,1
1,0,16,6.5,50,50,0.015,0.011490667,0.009641814,1
1,0,16,6.5,280,80,0.014,0.013787309,0.002431074,1
1,0,17,5.5,220,140,0.03,0.019283628,0.022981333,1
1,0,17,5.5,210,150,0.008,0.004,0.006928203,1
1,0,18,5,190,170,0.025,0.004341204,0.024620194,1
1,0,18,5,120,120,0.02,0.017320508,0.01,1
1,0,19,3,160,160,0.015,0.005130302,0.014095389,1
1,0,20,3,NA,NA,NA,NA,NA,1
1,0,1,12.5,70,70,0.01,0.009396926,0.003420201,2
1,0,1,12.5,180,180,0.025,3.06287E-18,0.025,2
1,0,1,12.5,165,165,0.02,0.005176381,0.019318517,2
1,0,1,12.5,95,95,0.017,0.01693531,0.001481648,2
1,0,1,12.5,130,130,0.025,0.019151111,0.01606969,2
1,0,2,11,260,100,0.015,0.014772116,0.002604723,2
1,0,2,11,260,100,0.035,0.034468271,0.006077686,2
1,0,3,12.5,130,130,0.02,0.015320889,0.012855752,2
1,0,3,12.5,120,120,0.012,0.010392305,0.006,2
1,0,3,12.5,100,100,0.015,0.014772116,0.002604723,2
1,0,3,12.5,40,40,0.02,0.012855752,0.015320889,2
1,0,4,11.5,250,110,0.015,0.014095389,0.005130302,2
1,0,4,11.5,205,155,0.03,0.012678548,0.027189234,2
1,0,4,11.5,120,120,0.03,0.025980762,0.015,2
1,0,4,11.5,240,120,0.03,0.025980762,0.015,2
1,0,5,4.5,100,100,0.022,0.021665771,0.00382026,2
1,0,6,4.5,NA,NA,NA,NA,NA,2
1,0,7,1.5,15,15,0.017,0.004399924,0.016420739,2
1,0,7,1.5,310,50,0.012,0.009192533,0.007713451,2
1,0,8,1.5,140,140,0.02,0.012855752,0.015320889,2
1,0,9,1,NA,NA,NA,NA,NA,2
1,0,10,2,340,20,0.015,0.005130302,0.014095389,2
1,0,12,5,340,20,0.025,0.008550504,0.023492316,2
1,0,12,5,27,27,0.02,0.00907981,0.01782013,2
1,0,12,5,200,160,0.015,0.005130302,0.014095389,2
1,0,13,5,60,60,0.02,0.017320508,0.01,2
1,0,13,5,260,100,0.03,0.029544233,0.005209445,2
1,0,15,5.5,NA,NA,NA,NA,NA,2
1,0,16,6.5,320,40,0.02,0.012855752,0.015320889,2
1,0,16,6.5,260,100,0.02,0.019696155,0.003472964,2
1,0,17,5.5,60,60,0.02,0.017320508,0.01,2
1,0,17,5.5,310,50,0.02,0.015320889,0.012855752,2
1,0,17,5.5,50,50,0.02,0.015320889,0.012855752,2
1,0,18,5,50,50,0.005,0.003830222,0.003213938,2
1,0,19,3,95,95,0.02,0.019923894,0.001743115,2
1,0,19,3,50,50,0.035,0.026811556,0.022497566,2
1,0,20,3,220,140,0.025,0.01606969,0.019151111,2
1,0,20,3,260,100,0.02,0.019696155,0.003472964,2
1,0,1,12.5,200,160,0.03,0.010260604,0.028190779,3
1,0,1,12.5,115,115,0.018,0.01631354,0.007607129,3
1,0,1,12.5,205,155,0.025,0.010565457,0.022657695,3
1,0,2,11,NA,NA,NA,NA,NA,3
1,0,3,12.5,90,90,0.015,0.015,0,3
1,0,3,12.5,5,5,0.007,0.00061009,0.006973363,3
1,0,3,12.5,50,50,0.025,0.019151111,0.01606969,3
1,0,3,12.5,120,120,0.02,0.017320508,0.01,3
1,0,3,12.5,275,85,0.028,0.027893452,0.002440361,3
1,0,3,12.5,110,110,0.012,0.011276311,0.004104242,3
1,0,3,12.5,340,20,0.01,0.003420201,0.009396926,3
1,0,4,11.5,160,160,0.03,0.010260604,0.028190779,3
1,0,4,11.5,70,70,0.01,0.009396926,0.003420201,3
1,0,4,11.5,170,170,0.014,0.002431074,0.013787309,3
1,0,5,4.5,45,45,0.01,0.007071068,0.007071068,3
1,0,5,4.5,50,50,0.02,0.015320889,0.012855752,3
1,0,5,4.5,330,30,0.015,0.0075,0.012990381,3
1,0,5,4.5,20,20,0.02,0.006840403,0.018793852,3
1,0,6,4.5,170,170,0.017,0.002952019,0.016741732,3
1,0,7,1.5,NA,NA,NA,NA,NA,3
1,0,8,1.5,NA,NA,NA,NA,NA,3
1,0,9,1,NA,NA,NA,NA,NA,3
1,0,10,2,NA,NA,NA,NA,NA,3
1,0,12,5,320,40,0.02,0.012855752,0.015320889,3
1,0,12,5,180,180,0.02,2.4503E-18,0.02,3
1,0,12,5,260,100,0.015,0.014772116,0.002604723,3
1,0,13,5,120,120,0.02,0.017320508,0.01,3
1,0,13,5,170,170,0.02,0.003472964,0.019696155,3
1,0,13,5,290,70,0.02,0.018793852,0.006840403,3
1,0,13,5,270,90,0.018,0.018,0,3
1,0,15,5.5,180,180,0.02,2.4503E-18,0.02,3
1,0,16,6.5,50,50,0.02,0.015320889,0.012855752,3
1,0,16,6.5,100,100,0.021,0.020680963,0.003646612,3
1,0,17,5.5,NA,NA,NA,NA,NA,3
1,0,18,5,340,20,0.02,0.006840403,0.018793852,3
1,0,19,3,200,160,0.02,0.006840403,0.018793852,3
1,0,19,3,20,20,0.01,0.003420201,0.009396926,3
1,0,19,3,310,50,0.02,0.015320889,0.012855752,3
1,0,19,3,130,130,0.025,0.019151111,0.01606969,3
1,0,20,3,NA,NA,NA,NA,NA,3
1,0,1,12.5,310,50,0.015,0.011490667,0.009641814,4
1,0,1,12.5,40,40,0.02,0.012855752,0.015320889,4
1,0,1,12.5,170,170,0.024,0.004167556,0.023635386,4
1,0,1,12.5,280,80,0.012,0.011817693,0.002083778,4
1,0,2,11,320,40,0.003,0.001928363,0.002298133,4
1,0,2,11,30,30,0.02,0.01,0.017320508,4
1,0,2,11,120,120,0.018,0.015588457,0.009,4
1,0,2,11,60,60,0.012,0.010392305,0.006,4
1,0,2,11,140,140,0.01,0.006427876,0.007660444,4
1,0,2,11,260,100,0.035,0.034468271,0.006077686,4
1,0,2,11,85,85,0.015,0.01494292,0.001307336,4
1,0,2,11,200,160,0.017,0.005814342,0.015974775,4
1,0,3,12.5,140,140,0.02,0.012855752,0.015320889,4
1,0,3,12.5,150,150,0.006,0.003,0.005196152,4
1,0,4,11.5,80,80,0.02,0.019696155,0.003472964,4
1,0,4,11.5,35,35,0.025,0.014339411,0.020478801,4
1,0,4,11.5,240,120,0.008,0.006928203,0.004,4
1,0,4,11.5,50,50,0.015,0.011490667,0.009641814,4
1,0,4,11.5,260,100,0.009,0.00886327,0.001562834,4
1,0,5,4.5,NA,NA,NA,NA,NA,4
1,0,6,4.5,125,125,0.024,0.019659649,0.013765834,4
1,0,7,1.5,NA,NA,NA,NA,NA,4
1,0,8,1.5,NA,NA,NA,NA,NA,4
1,0,9,1,NA,NA,NA,NA,NA,4
1,0,10,2,NA,NA,NA,NA,NA,4
1,0,12,5,NA,NA,NA,NA,NA,4
1,0,13,5,160,160,0.025,0.008550504,0.023492316,4
1,0,15,5.5,NA,NA,NA,NA,NA,4
1,0,16,6.5,NA,NA,NA,NA,NA,4
1,0,17,5.5,NA,NA,NA,NA,NA,4
1,0,18,5,31,31,0.025,0.012875952,0.021429183,4
1,0,18,5,200,160,0.015,0.005130302,0.014095389,4
1,0,18,5,300,60,0.018,0.015588457,0.009,4
1,0,18,5,90,90,0.035,0.035,0,4
1,0,19,3,NA,NA,NA,NA,NA,4
1,0,20,3,120,120,0.02,0.017320508,0.01,4
1,0,20,3,260,100,0.015,0.014772116,0.002604723,4
